time_hrs,th_0_889_cm,th_1_778_cm,th_2_667_cm,th_3_556_cm,th_4_445_cm,th_5_334_cm,th_6_223_cm,th_7_112_cm,th_8_001_cm,th_8_89_cm,th_9_779_cm,th_10_668_cm,th_11_557_cm,th_12_446_cm,th_13_335_cm,th_14_224_cm,th_15_113_cm,th_16_002_cm,th_16_891_cm,th_17_78_cm,th_18_669_cm,th_19_558_cm,th_20_447_cm,th_21_336_cm,th_22_225_cm,th_23_114_cm,th_24_003_cm,th_24_892_cm,th_25_781_cm,th_26_67_cm,th_27_559_cm,th_28_448_cm
737198.829224537,29.765,31.61,32.7375,33.7625,34.275,34.1725,34.7875,34.5825,34.275,33.9675,33.66,33.455,32.84,31.9175,30.38,28.8425,26.895,25.5625,23.205,20.6425,18.7975,17.875,17.465,17.1575,17.055,17.1575,16.9525,16.9525,16.5425,16.85,16.7475,17.055
737198.82931713,29.765,31.61,32.7375,33.7625,34.1725,34.275,34.685,34.5825,34.275,34.07,33.66,33.455,32.9425,31.9175,30.38,28.8425,26.9975,25.5625,23.205,20.54,18.5925,17.5675,17.26,16.9525,16.85,16.9525,16.7475,16.85,16.44,16.7475,16.5425,16.85
737198.829409722,29.765,31.61,32.7375,33.7625,34.07,34.3775,34.5825,34.5825,34.275,34.1725,33.66,33.455,33.045,31.9175,30.38,28.8425,27.1,25.5625,23.205,20.4375,18.3875,17.26,17.055,16.7475,16.645,16.7475,16.5425,16.7475,16.3375,16.645,16.3375,16.645
737198.829513889,29.765,31.61,32.635,33.7625,34.1725,34.3775,34.5825,34.5825,34.275,34.1725,33.66,33.455,33.045,31.9175,30.38,28.945,26.9975,25.46,23.41,20.4375,18.285,17.1575,16.85,16.5425,16.5425,16.645,16.44,16.645,16.235,16.44,16.235,16.5425
737198.829618056,29.765,31.61,32.7375,33.7625,34.1725,34.3775,34.5825,34.5825,34.275,34.1725,33.66,33.455,33.045,31.9175,30.38,28.945,26.9975,25.46,23.5125,20.54,18.3875,17.1575,16.9525,16.5425,16.5425,16.5425,16.44,16.5425,16.1325,16.44,16.1325,16.44
737198.829722222,29.765,31.61,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.1725,33.66,33.455,33.045,31.9175,30.38,28.8425,26.9975,25.3575,23.615,20.54,18.3875,17.3625,16.9525,16.5425,16.5425,16.645,16.44,16.5425,16.1325,16.44,16.1325,16.44
737198.829826389,29.6625,31.61,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.1725,33.66,33.455,32.9425,31.9175,30.38,28.8425,26.9975,25.3575,23.5125,20.54,18.3875,17.3625,16.9525,16.645,16.5425,16.645,16.44,16.5425,16.1325,16.44,16.1325,16.44
737198.829930556,29.6625,31.5075,32.635,33.7625,34.1725,34.3775,34.5825,34.5825,34.275,34.1725,33.66,33.455,33.045,31.9175,30.38,28.8425,26.9975,25.3575,23.5125,20.4375,18.3875,17.465,17.1575,16.7475,16.645,16.7475,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.830023148,29.56,31.5075,32.635,33.7625,34.1725,34.3775,34.5825,34.5825,34.275,34.1725,33.66,33.455,32.9425,31.9175,30.38,28.74,26.9975,25.3575,23.41,20.4375,18.3875,17.5675,17.1575,16.7475,16.645,16.7475,16.5425,16.7475,16.3375,16.645,16.235,16.645
737198.830127315,29.56,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.1725,33.66,33.455,32.9425,31.9175,30.38,28.74,26.9975,25.255,23.41,20.6425,18.3875,17.5675,17.26,16.85,16.7475,16.85,16.645,16.85,16.44,16.7475,16.3375,16.7475
737198.830231481,29.56,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.07,33.66,33.455,32.9425,31.9175,30.38,28.74,26.9975,25.46,23.5125,20.54,18.49,17.7725,17.3625,16.9525,16.9525,16.9525,16.7475,16.9525,16.5425,16.85,16.44,16.85
737198.830335648,29.56,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.1725,33.66,33.455,32.9425,31.9175,30.38,28.74,26.9975,25.255,23.7175,20.6425,18.695,18.08,17.5675,17.1575,17.055,17.1575,16.85,16.9525,16.645,16.9525,16.5425,16.9525
737198.830439815,29.56,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.1725,34.07,33.5575,33.455,32.9425,31.815,30.38,28.6375,26.9975,25.1525,23.82,20.6425,18.7975,18.08,17.5675,17.1575,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.5425,16.9525
737198.830543982,29.4575,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.07,33.5575,33.3525,32.9425,31.815,30.2775,28.74,26.9975,25.05,23.615,20.54,18.695,17.9775,17.5675,17.26,17.1575,17.26,16.9525,17.055,16.7475,17.055,16.645,17.055
737198.830636574,29.4575,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.07,33.66,33.455,32.9425,31.815,30.38,28.74,26.9975,24.9475,23.615,20.54,18.695,18.08,17.67,17.3625,17.1575,17.3625,17.055,17.1575,16.7475,17.055,16.7475,17.1575
737198.830740741,29.4575,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.5825,34.275,34.07,33.66,33.455,32.84,31.815,30.38,28.74,26.9975,24.9475,23.41,20.4375,18.49,17.875,17.5675,17.1575,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.645,17.055
737198.830844907,29.56,31.5075,32.635,33.66,34.1725,34.3775,34.685,34.5825,34.275,34.07,33.66,33.455,32.9425,31.815,30.38,28.945,26.9975,24.9475,23.3075,20.2325,18.285,17.5675,17.26,16.9525,16.85,16.9525,16.7475,16.85,16.5425,16.7475,16.5425,16.85
737198.830949074,29.56,31.5075,32.635,33.7625,34.1725,34.3775,34.685,34.48,34.1725,34.07,33.66,33.455,32.9425,31.815,30.2775,29.0475,26.9975,24.845,23.205,20.2325,18.1825,17.3625,17.1575,16.7475,16.645,16.7475,16.5425,16.645,16.3375,16.5425,16.3375,16.645
737198.831053241,29.56,31.5075,32.5325,33.7625,34.1725,34.3775,34.5825,34.48,34.1725,34.1725,33.5575,33.3525,32.9425,31.815,30.38,29.0475,26.9975,24.845,23.1025,20.2325,18.08,17.26,17.055,16.645,16.5425,16.645,16.44,16.5425,16.1325,16.44,16.1325,16.44
737198.831157407,29.56,31.5075,32.5325,33.7625,34.1725,34.3775,34.5825,34.48,34.1725,34.07,33.66,33.455,32.84,31.815,30.38,29.15,26.9975,24.7425,23,20.13,17.875,16.9525,16.7475,16.3375,16.3375,16.44,16.235,16.44,15.9275,16.235,16.03,16.235
737198.83125,29.4575,31.5075,32.5325,33.7625,34.1725,34.275,34.5825,34.48,34.275,34.07,33.66,33.3525,32.84,31.815,30.38,29.15,26.9975,24.7425,23.1025,20.2325,17.875,16.9525,16.7475,16.3375,16.3375,16.44,16.235,16.3375,15.9275,16.235,15.9275,16.235
737198.831354167,29.56,31.5075,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.1725,34.07,33.5575,33.3525,32.9425,31.815,30.38,29.15,26.9975,24.7425,23,20.2325,17.9775,17.1575,16.85,16.44,16.3375,16.5425,16.235,16.44,16.03,16.235,16.03,16.3375
737198.831458333,29.4575,31.405,32.635,33.66,34.1725,34.3775,34.5825,34.48,34.275,34.07,33.5575,33.455,32.9425,31.815,30.4825,29.15,27.1,24.7425,23,20.2325,18.08,17.26,16.9525,16.5425,16.44,16.5425,16.3375,16.44,16.03,16.3375,16.03,16.3375
737198.8315625,29.4575,31.405,32.5325,33.66,34.1725,34.3775,34.5825,34.3775,34.275,34.07,33.5575,33.455,32.84,31.815,30.4825,29.15,26.9975,24.64,22.8975,20.13,18.08,17.26,16.9525,16.5425,16.5425,16.645,16.3375,16.5425,16.1325,16.44,16.1325,16.44
737198.831666667,29.4575,31.405,32.5325,33.66,34.07,34.3775,34.5825,34.48,34.275,34.07,33.5575,33.3525,32.9425,31.815,30.4825,29.15,26.9975,24.64,22.795,20.2325,18.1825,17.465,17.055,16.7475,16.645,16.7475,16.44,16.645,16.235,16.5425,16.1325,16.5425
737198.831770833,29.4575,31.405,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.275,34.07,33.5575,33.3525,32.9425,31.815,30.4825,29.15,26.9975,24.64,22.795,20.335,18.285,17.5675,17.1575,16.7475,16.645,16.7475,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.831863426,29.4575,31.405,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.275,34.07,33.5575,33.3525,32.84,31.815,30.4825,29.15,26.9975,24.5375,22.795,20.335,18.285,17.5675,17.26,16.85,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.235,16.645
737198.831967593,29.4575,31.405,32.5325,33.66,34.1725,34.3775,34.5825,34.3775,34.275,34.1725,33.5575,33.3525,32.84,31.815,30.4825,29.0475,26.895,24.435,22.6925,20.13,18.285,17.5675,17.26,16.9525,16.85,16.9525,16.645,16.7475,16.44,16.7475,16.3375,16.7475
737198.832071759,29.355,31.405,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.275,34.1725,33.5575,33.3525,32.84,31.815,30.4825,28.945,26.69,24.435,22.59,20.0275,18.285,17.67,17.3625,16.9525,16.85,17.055,16.7475,16.85,16.44,16.7475,16.44,16.7475
737198.832175926,29.4575,31.405,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.1725,34.07,33.5575,33.3525,32.9425,31.815,30.4825,28.945,26.69,24.435,22.59,20.13,18.285,17.7725,17.465,17.055,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.85
737198.832280093,29.355,31.405,32.5325,33.66,34.1725,34.3775,34.5825,34.3775,34.275,34.1725,33.5575,33.455,32.9425,31.815,30.4825,28.945,26.5875,24.3325,22.4875,20.0275,18.285,17.875,17.465,17.1575,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.5425,16.9525
737198.832349537,29.355,31.405,32.5325,33.66,34.1725,34.3091666666667,34.5825,34.3775,34.275,34.1725,33.6258333333333,33.455,32.9425,31.8833333333333,30.4825,28.8766666666667,26.5875,24.3325,22.4875,20.0275,18.3533333333333,17.875,17.465,17.1575,17.055,17.1575,16.8841666666667,16.9866666666667,16.645,16.9525,16.5425,16.9525
737198.832384259,29.355,31.405,32.5325,33.66,34.1725,34.275,34.5825,34.3775,34.275,34.1725,33.66,33.455,32.9425,31.9175,30.4825,28.8425,26.5875,24.3325,22.4875,20.0275,18.3875,17.875,17.465,17.1575,17.055,17.1575,16.85,16.9525,16.645,16.9525,16.5425,16.9525
737198.832476852,29.355,31.3025,32.5325,33.66,34.1725,34.3775,34.5825,34.3775,34.275,34.07,33.66,33.455,32.9425,31.9175,30.4825,28.8425,26.485,24.23,22.4875,20.0275,18.3875,17.875,17.465,17.1575,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.85
737198.832581019,29.355,31.3025,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.275,34.07,33.5575,33.3525,32.84,31.9175,30.4825,28.74,26.485,24.23,22.385,20.0275,18.3875,17.875,17.465,17.055,16.85,16.9525,16.7475,16.85,16.44,16.7475,16.44,16.7475
737198.832685185,29.355,31.405,32.5325,33.66,34.07,34.275,34.5825,34.48,34.275,34.07,33.5575,33.455,32.9425,31.9175,30.4825,28.74,26.485,24.23,22.2825,20.0275,18.3875,17.7725,17.3625,16.9525,16.85,16.85,16.645,16.7475,16.3375,16.645,16.235,16.645
737198.832789352,29.355,31.3025,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.275,34.1725,33.5575,33.455,32.9425,31.815,30.38,28.74,26.3825,24.23,22.2825,20.0275,18.3875,17.7725,17.3625,16.9525,16.7475,16.85,16.645,16.7475,16.3375,16.5425,16.235,16.645
737198.832893518,29.2525,31.3025,32.5325,33.66,34.1725,34.3775,34.5825,34.48,34.275,34.07,33.5575,33.3525,32.84,31.815,30.38,28.74,26.3825,24.1275,22.2825,19.925,18.3875,17.7725,17.3625,16.9525,16.7475,16.85,16.645,16.7475,16.3375,16.5425,16.235,16.645
737198.832997685,29.2525,31.3025,32.5325,33.66,34.07,34.275,34.5825,34.48,34.275,34.07,33.5575,33.455,32.9425,31.7125,30.38,28.74,26.3825,24.025,22.0775,19.925,18.3875,17.875,17.3625,16.9525,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.235,16.645
737198.833090278,29.15,31.3025,32.5325,33.7625,34.07,34.275,34.5825,34.48,34.275,34.07,33.5575,33.3525,32.84,31.815,30.38,28.74,26.3825,24.025,21.975,19.925,18.3875,17.7725,17.465,16.9525,16.85,16.9525,16.645,16.7475,16.44,16.7475,16.3375,16.645
737198.833194444,29.15,31.3025,32.43,33.66,34.07,34.3775,34.5825,34.5825,34.275,34.07,33.66,33.455,32.9425,31.815,30.38,28.74,26.28,24.025,21.8725,19.8225,18.285,17.875,17.465,17.055,16.9525,17.055,16.7475,16.85,16.44,16.7475,16.3375,16.7475
737198.833298611,29.15,31.3025,32.5325,33.66,34.07,34.3775,34.685,34.5825,34.275,33.9675,33.66,33.455,32.9425,31.815,30.38,28.74,26.28,24.025,21.8725,19.72,18.3875,17.9775,17.465,17.055,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.85
737198.833402778,29.2525,31.3025,32.43,33.5575,34.07,34.3775,34.5825,34.5825,34.275,34.07,33.5575,33.455,32.9425,31.815,30.38,28.74,26.28,24.025,21.8725,19.72,18.3875,17.9775,17.5675,17.1575,17.055,17.1575,16.85,17.055,16.645,16.9525,16.5425,16.9525
737198.833506944,29.2525,31.3025,32.43,33.66,34.07,34.3775,34.685,34.5825,34.275,33.9675,33.5575,33.455,32.9425,31.815,30.38,28.74,26.28,24.025,21.8725,19.72,18.49,17.9775,17.5675,17.26,17.1575,17.26,16.9525,17.055,16.645,16.9525,16.5425,16.9525
737198.833611111,29.15,31.2,32.43,33.66,34.07,34.3775,34.685,34.5825,34.275,34.07,33.5575,33.455,32.9425,31.815,30.38,28.74,26.28,24.025,21.77,19.72,18.49,18.08,17.67,17.26,17.1575,17.26,16.9525,17.055,16.7475,17.055,16.645,16.9525
737198.833703704,29.0475,31.2,32.43,33.66,34.1725,34.3775,34.685,34.5825,34.275,33.9675,33.5575,33.3525,32.9425,31.815,30.2775,28.6375,26.28,23.9225,21.6675,19.6175,18.3875,18.08,17.67,17.3625,17.1575,17.26,17.055,17.055,16.7475,17.055,16.645,17.055
737198.83380787,28.945,31.0975,32.43,33.5575,34.1725,34.3775,34.685,34.5825,34.275,34.07,33.5575,33.455,32.9425,31.7125,30.38,28.6375,26.28,23.9225,21.77,19.515,18.3875,17.9775,17.67,17.26,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.645,17.055
737198.833912037,28.8425,31.0975,32.43,33.66,34.07,34.3775,34.685,34.5825,34.275,34.07,33.5575,33.455,32.9425,31.7125,30.38,28.6375,26.1775,23.9225,21.565,19.515,18.285,17.875,17.465,17.055,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.85
737198.834016204,28.8425,31.0975,32.43,33.66,34.07,34.3775,34.685,34.5825,34.275,34.07,33.5575,33.455,32.84,31.7125,30.38,28.6375,26.1775,23.9225,21.6675,19.6175,18.285,17.875,17.465,17.055,16.9525,17.055,16.85,16.9525,16.44,16.85,16.44,16.85
737198.83412037,28.8425,31.0975,32.3275,33.5575,34.1725,34.3775,34.685,34.5825,34.275,34.07,33.5575,33.455,32.84,31.7125,30.2775,28.6375,26.1775,23.9225,21.565,19.515,18.1825,17.7725,17.3625,16.9525,16.85,16.9525,16.7475,16.85,16.44,16.7475,16.44,16.7475
737198.834224537,28.8425,30.995,32.3275,33.5575,34.07,34.3775,34.5825,34.48,34.275,34.07,33.5575,33.455,32.84,31.7125,30.2775,28.6375,26.1775,23.9225,21.4625,19.31,18.08,17.67,17.26,16.85,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.235,16.645
737198.83431713,28.8425,31.0975,32.3275,33.5575,34.07,34.3775,34.5825,34.5825,34.275,34.07,33.5575,33.455,32.84,31.7125,30.2775,28.535,26.1775,23.82,21.565,19.31,18.1825,17.67,17.26,16.85,16.7475,16.85,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.834421296,28.8425,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.5825,34.1725,34.07,33.5575,33.455,32.84,31.7125,30.2775,28.535,26.075,23.82,21.565,19.4125,18.1825,17.67,17.26,16.85,16.7475,16.7475,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.834525463,28.8425,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.455,32.84,31.7125,30.2775,28.535,26.075,23.82,21.565,19.31,18.08,17.67,17.26,16.85,16.7475,16.85,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.83462963,28.8425,31.0975,32.3275,33.5575,34.07,34.3775,34.5825,34.48,34.1725,33.9675,33.66,33.455,32.84,31.7125,30.175,28.4325,26.075,23.82,21.4625,19.31,18.08,17.67,17.26,16.85,16.7475,16.85,16.5425,16.7475,16.3375,16.645,16.235,16.645
737198.834733796,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.455,32.84,31.61,30.175,28.33,25.9725,23.82,21.4625,19.31,18.08,17.67,17.26,16.9525,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.3375,16.645
737198.834837963,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.455,32.84,31.61,30.175,28.4325,25.9725,23.7175,21.4625,19.31,18.08,17.67,17.3625,16.9525,16.85,16.9525,16.645,16.7475,16.44,16.7475,16.3375,16.7475
737198.834930556,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.5825,34.1725,34.07,33.5575,33.455,32.84,31.61,30.175,28.33,25.87,23.7175,21.36,19.31,18.08,17.7725,17.3625,17.055,16.85,16.9525,16.7475,16.85,16.44,16.7475,16.44,16.7475
737198.835034722,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.5825,34.275,34.07,33.5575,33.3525,32.7375,31.5075,30.175,28.4325,25.87,23.7175,21.4625,19.31,18.1825,17.7725,17.465,17.055,16.9525,17.055,16.7475,16.9525,16.5425,16.85,16.44,16.85
737198.835138889,28.945,31.0975,32.3275,33.5575,34.07,34.1725,34.5825,34.5825,34.275,34.07,33.5575,33.3525,32.7375,31.5075,30.175,28.4325,25.87,23.7175,21.565,19.4125,18.1825,17.7725,17.465,17.1575,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.9525
737198.835243056,29.0475,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.5825,34.275,34.07,33.66,33.3525,32.7375,31.5075,30.175,28.4325,25.87,23.7175,21.565,19.515,18.1825,17.875,17.465,17.1575,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.645,16.9525
737198.835347222,28.945,31.0975,32.3275,33.455,34.07,34.275,34.5825,34.48,34.275,34.1725,33.5575,33.3525,32.7375,31.5075,30.0725,28.33,25.87,23.615,21.6675,19.515,18.1825,17.875,17.465,17.1575,17.055,17.1575,16.85,17.055,16.645,16.9525,16.5425,16.9525
737198.835451389,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.48,34.48,34.275,34.1725,33.66,33.3525,32.7375,31.5075,30.0725,28.33,25.7675,23.615,21.6675,19.515,18.1825,17.875,17.465,17.1575,17.055,17.1575,16.9525,16.9525,16.5425,16.9525,16.5425,16.9525
737198.835543982,28.945,31.0975,32.3275,33.5575,33.9675,34.275,34.48,34.48,34.275,34.07,33.5575,33.3525,32.635,31.5075,30.0725,28.33,25.7675,23.615,21.6675,19.515,18.1825,17.7725,17.3625,17.055,16.9525,17.055,16.7475,16.85,16.5425,16.85,16.44,16.85
737198.835648148,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.48,34.48,34.275,34.1725,33.5575,33.3525,32.7375,31.5075,30.0725,28.33,25.7675,23.615,21.565,19.4125,18.08,17.5675,17.26,16.85,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.3375,16.7475
737198.835752315,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.1725,33.5575,33.25,32.7375,31.5075,30.0725,28.33,25.7675,23.615,21.565,19.4125,18.08,17.5675,17.26,16.85,16.7475,16.85,16.5425,16.7475,16.3375,16.645,16.235,16.645
737198.835856481,28.945,31.0975,32.3275,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.3525,32.7375,31.5075,29.97,28.2275,25.7675,23.615,21.565,19.31,17.875,17.465,17.1575,16.7475,16.645,16.645,16.5425,16.645,16.235,16.44,16.235,16.5425
737198.835960648,28.945,31.0975,32.3275,33.5575,33.9675,34.1725,34.5825,34.48,34.1725,34.1725,33.5575,33.3525,32.7375,31.405,29.97,28.33,25.87,23.615,21.565,19.31,17.875,17.5675,17.1575,16.7475,16.645,16.7475,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.836064815,28.8425,30.995,32.225,33.5575,33.9675,34.1725,34.5825,34.48,34.1725,34.07,33.5575,33.3525,32.7375,31.405,29.97,28.33,25.7675,23.615,21.4625,19.4125,17.875,17.465,17.1575,16.7475,16.645,16.7475,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.836157407,28.8425,30.995,32.225,33.5575,33.9675,34.275,34.5825,34.48,34.1725,34.07,33.66,33.3525,32.7375,31.3025,29.97,28.2275,25.7675,23.5125,21.4625,19.31,17.9775,17.5675,17.1575,16.85,16.7475,16.7475,16.5425,16.7475,16.3375,16.5425,16.235,16.645
737198.836261574,28.8425,30.995,32.225,33.455,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.3525,32.635,31.3025,29.97,28.33,25.7675,23.5125,21.4625,19.31,17.9775,17.5675,17.26,16.85,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.3375,16.645
737198.836365741,28.8425,30.995,32.225,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.3525,32.635,31.3025,29.97,28.33,25.7675,23.5125,21.4625,19.31,18.08,17.5675,17.26,16.9525,16.85,16.9525,16.645,16.7475,16.44,16.7475,16.3375,16.7475
737198.836469907,28.8425,30.995,32.225,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.3525,32.635,31.405,29.97,28.33,25.665,23.5125,21.4625,19.31,18.08,17.67,17.3625,16.9525,16.85,16.9525,16.7475,16.85,16.44,16.7475,16.44,16.7475
737198.836574074,28.8425,30.995,32.225,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.5575,33.25,32.635,31.405,29.97,28.33,25.665,23.5125,21.4625,19.2075,18.08,17.67,17.3625,17.055,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.85
737198.836678241,28.74,30.995,32.3275,33.5575,34.07,34.275,34.5825,34.48,34.1725,34.07,33.66,33.25,32.635,31.405,29.97,28.33,25.665,23.5125,21.4625,19.2075,18.1825,17.7725,17.465,17.055,16.9525,17.1575,16.85,16.9525,16.645,16.9525,16.5425,16.85
737198.836770833,28.8425,30.995,32.225,33.66,34.07,34.275,34.5825,34.48,34.1725,33.9675,33.5575,33.25,32.635,31.405,30.0725,28.33,25.665,23.5125,21.36,19.2075,18.1825,17.7725,17.465,17.1575,17.055,17.1575,16.85,17.055,16.645,16.9525,16.5425,16.9525
737198.836875,28.74,30.995,32.225,33.66,34.07,34.275,34.5825,34.48,34.1725,33.9675,33.5575,33.25,32.635,31.5075,30.0725,28.33,25.7675,23.5125,21.36,19.2075,18.1825,17.7725,17.465,17.1575,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.5425,16.9525
737198.836979167,28.74,30.995,32.225,33.66,34.07,34.275,34.48,34.48,34.1725,34.07,33.5575,33.3525,32.635,31.405,29.97,28.33,25.7675,23.5125,21.36,19.2075,18.1825,17.7725,17.3625,17.055,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.9525
737198.837083333,28.6375,30.8925,32.225,33.66,33.9675,34.275,34.48,34.48,34.1725,33.9675,33.5575,33.3525,32.635,31.405,29.97,28.33,25.7675,23.5125,21.36,19.2075,18.08,17.67,17.3625,17.055,16.9525,17.055,16.85,16.9525,16.5425,16.85,16.5425,16.85
737198.8371875,28.74,30.995,32.225,33.66,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.5575,33.3525,32.635,31.405,29.97,28.33,25.665,23.5125,21.36,19.2075,17.9775,17.5675,17.26,16.9525,16.85,16.9525,16.7475,16.85,16.44,16.7475,16.44,16.7475
737198.837291667,28.74,30.995,32.3275,33.5575,33.9675,34.275,34.5825,34.48,34.07,33.9675,33.5575,33.3525,32.5325,31.405,29.97,28.33,25.665,23.5125,21.36,19.105,17.9775,17.5675,17.1575,16.85,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.3375,16.645
737198.837384259,28.74,30.995,32.3275,33.5575,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.5575,33.3525,32.635,31.405,29.97,28.33,25.665,23.5125,21.36,19.105,17.875,17.465,17.055,16.7475,16.645,16.7475,16.5425,16.5425,16.235,16.5425,16.1325,16.5425
737198.837488426,28.74,30.995,32.225,33.5575,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.5575,33.3525,32.5325,31.405,29.8675,28.33,25.665,23.41,21.2575,19.105,17.875,17.3625,16.9525,16.645,16.5425,16.645,16.44,16.5425,16.1325,16.44,16.1325,16.44
737198.837592593,28.74,30.995,32.225,33.5575,33.9675,34.275,34.5825,34.48,34.1725,33.865,33.5575,33.25,32.635,31.405,29.97,28.33,25.665,23.41,21.2575,19.0025,17.7725,17.3625,16.9525,16.645,16.5425,16.645,16.44,16.5425,16.03,16.44,16.03,16.44
737198.837696759,28.74,30.995,32.225,33.455,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.5575,33.25,32.5325,31.3025,29.97,28.33,25.5625,23.41,21.2575,19.0025,17.7725,17.3625,16.9525,16.645,16.5425,16.645,16.44,16.5425,16.1325,16.44,16.1325,16.44
737198.837800926,28.74,30.995,32.225,33.455,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.455,33.1475,32.635,31.405,29.8675,28.33,25.665,23.41,21.155,19.0025,17.7725,17.3625,16.9525,16.645,16.5425,16.645,16.44,16.5425,16.1325,16.44,16.1325,16.44
737198.837905093,28.74,30.995,32.225,33.455,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.5575,33.1475,32.5325,31.405,29.8675,28.33,25.665,23.3075,21.155,19.105,17.875,17.465,17.055,16.7475,16.645,16.7475,16.5425,16.5425,16.235,16.5425,16.1325,16.5425
737198.837997685,28.74,30.995,32.225,33.455,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.455,33.25,32.5325,31.405,29.8675,28.2275,25.5625,23.3075,21.155,19.105,17.875,17.465,17.055,16.7475,16.645,16.7475,16.5425,16.645,16.235,16.5425,16.235,16.5425
737198.838101852,28.74,30.995,32.225,33.455,33.9675,34.275,34.5825,34.48,34.1725,33.9675,33.455,33.25,32.5325,31.405,29.8675,28.2275,25.46,23.3075,21.155,19.105,17.875,17.465,17.055,16.85,16.7475,16.85,16.5425,16.7475,16.3375,16.645,16.235,16.645
737198.838206019,28.74,30.995,32.225,33.455,33.9675,34.275,34.5825,34.48,34.1725,34.07,33.455,33.25,32.5325,31.405,29.8675,28.125,25.46,23.3075,21.155,19.0025,17.875,17.465,17.1575,16.85,16.7475,16.85,16.645,16.7475,16.3375,16.645,16.3375,16.645
